"Freq [GHz]","Z(1,1) []","Z(2,1) []","Z(3,1) []","Z(4,1) []","Z(1,2) []","Z(2,2) []","Z(3,2) []","Z(4,2) []","Z(1,3) []","Z(2,3) []","Z(3,3) []","Z(4,3) []","Z(1,4) []","Z(2,4) []","Z(3,4) []","Z(4,4) []"
2.402,46.7329793771114 + 13.5123459964165i,-7.71155325084765 - 1.12859779271649i,-1.79662672118155 + 2.92337748515938i,-1.99347236889863 - 0.642583027797847i,-7.71172076144126 - 1.12858647487288i,50.8962434926725 + 12.4538081936056i,-9.87450549409949 - 1.98216035724435i,-1.8043417403688 + 2.94171137421922i,-1.79659011158336 + 2.92341144605973i,-9.8745634153203 - 1.98228776708372i,50.8122862608196 + 12.509090025485i,-7.89488562684777 - 1.34283067943139i,-1.99330350109018 - 0.642460599348482i,-1.80445798796398 + 2.94172871940346i,-7.89484872444031 - 1.34303468381714i,48.9625565288028 + 13.249307687033i
2.442,42.0667571298771 + 16.4128771602559i,-0.868238450422435 + 0.901943404061503i,1.59031216582052 + 3.26088993727261i,0.596335803615263 + 2.01895398349238i,-0.8672848075752 + 0.902019221810432i,43.2889983418048 + 14.1805152061712i,-2.40243619408454 + 0.707203764547484i,1.55908095929485 + 3.2772027760896i,1.59015018367161 + 3.26064574776212i,-2.41587988373489 + 0.724995500885409i,43.8552472320549 + 13.8311446249441i,-0.950723564797757 + 0.907225462914653i,0.596390271900883 + 2.01897063298053i,1.55891233217743 + 3.2768790827653i,-0.949826619134601 + 0.9073192136962i,42.452120654096 + 15.0271356385656i
2.48,58.6389732685227 + 0.437131498411332i,-5.01536995288756 - 3.03414937280178i,3.08603283138919 + 0.269837983692043i,1.76116396056199 - 1.5345724966014i,-5.0152045375915 - 3.03434057302553i,59.2191648616036 - 1.45821098918432i,-7.02305878243732 - 1.789457604027i,3.12953467760694 + 0.233601903990509i,3.08598122543219 + 0.269801144556811i,-7.02309129862969 - 1.78947476575027i,59.0015285883083 - 3.08121768300791i,-5.17862636472571 - 2.72942269898976i,1.76127228144279 - 1.53446876586878i,3.12956899599074 + 0.233603274809047i,-5.17867943997016 - 2.72930764809036i,58.3011163002843 - 0.366589843931083i
