"Freq [GHz]","Z(1,1) []","Z(2,1) []","Z(3,1) []","Z(4,1) []","Z(1,2) []","Z(2,2) []","Z(3,2) []","Z(4,2) []","Z(1,3) []","Z(2,3) []","Z(3,3) []","Z(4,3) []","Z(1,4) []","Z(2,4) []","Z(3,4) []","Z(4,4) []"
2.402,49.7990516961404 + 14.5336263301898i,-6.16064144994315 + 1.42323341247595i,-0.0853669820256032 + 2.95689776863418i,-1.68950377758353 + 1.41433387755663i,-6.16047234743388 + 1.42313380913875i,51.91737713489 + 11.9695762646675i,-7.81169923984795 + 0.827653042284838i,0.12284379511189 + 3.13778138205345i,-0.0852379072975582 + 2.95694743287532i,-7.81169666948772 + 0.82753717823723i,53.160017897579 + 12.7418494217158i,-6.19485347752647 + 1.51114569220225i,-1.68935658423111 + 1.41432622950035i,0.122757307439106 + 3.13779827602866i,-6.19482674640455 + 1.51108561677161i,49.2782138925072 + 13.1523399413423i
2.442,42.2809857618267 + 14.6760409313028i,0.224852758124577 + 0.767540421710809i,2.62193983066477 + 1.34655206347072i,2.01054385670238 + 0.887249876017346i,0.224698077467415 + 0.767507422972953i,42.5049343374105 + 13.423422557119i,-1.26576152684752 + 0.984575970243186i,2.66341217860541 + 1.27834706537247i,2.63043836392044 + 1.35607625118068i,-1.26581435544589 + 0.984742227631402i,43.1274112604387 + 13.095594059609i,0.336896586973 + 0.803108401023231i,2.01053520486486 + 0.887329880424097i,2.66337987118423 + 1.27841077557361i,0.33673154818961 + 0.802874768700251i,41.5025090734418 + 14.4174878459632i
2.48,57.7225151931503 + 1.30450035011065i,-4.21799029331443 - 1.78645177711306i,1.93672752606627 - 1.24985593863445i,0.271766912635034 - 2.39812153151637i,-4.21810842685468 - 1.78673300984561i,58.6892272354286 - 0.423052412264324i,-5.48973739234828 - 0.336058612083924i,1.73268266993517 - 1.2814902704421i,1.93664915012092 - 1.24989945421699i,-5.489752431196 - 0.33602181325627i,58.6117998562394 - 1.03686801337561i,-4.16012963344196 - 1.9156883167311i,0.271879896186827 - 2.39797568056358i,1.73274777649076 - 1.28160417782734i,-4.16023566775518 - 1.91570321532874i,57.2216847829671 + 1.69294452190414i
