"Freq [GHz]","Z(1,1) []","Z(2,1) []","Z(3,1) []","Z(4,1) []","Z(1,2) []","Z(2,2) []","Z(3,2) []","Z(4,2) []","Z(1,3) []","Z(2,3) []","Z(3,3) []","Z(4,3) []","Z(1,4) []","Z(2,4) []","Z(3,4) []","Z(4,4) []"
2.402,46.1781370256992 + 10.5655530537255i,-3.42392233862231 + 2.85875448658934i,1.40845990901548 + 1.94599048994302i,0.613743686366203 + 1.94372990454652i,-3.42387477760468 + 2.85862998846031i,50.8755118637594 + 9.81426280183576i,-5.18881372463131 + 2.60976920369582i,1.47249380910104 + 1.92515448767496i,1.40854237732595 + 1.9457966443897i,-5.18894600502304 + 2.60969152468289i,49.8902324775127 + 9.35704820267622i,-3.35126116170281 + 2.79610235656851i,0.613587953823683 + 1.94342434272892i,1.4724808867438 + 1.92527038090348i,-3.35124780243074 + 2.79622220407898i,46.5225664118492 + 10.5978277003321i
2.442,40.0120390207004 + 14.9304221661112i,0.54146161390097 + 0.167795978255363i,2.2628726568475 - 0.482074777229377i,1.71463175067174 - 1.20813657642077i,0.541312455266816 + 0.16769316508943i,42.0235157557945 + 13.4649384904882i,-0.696484142441893 + 0.870729628778291i,2.28881617056028 - 0.502833869183006i,2.26262959877924 - 0.482508465533482i,-0.691011369272868 + 0.87528795428883i,41.6274614950048 + 13.721808105981i,0.539797033003175 + 0.0236838180727362i,1.71468367169008 - 1.20761509405495i,2.28865348162635 - 0.502946343447422i,0.535050812832683 + 0.0442388711340301i,41.128313642724 + 14.9390755129214i
2.48,56.9841900753935 + 0.745305048935172i,-3.55114434979854 - 0.532696734139519i,0.480511219317469 - 1.66657674558205i,-1.76150002296044 - 1.33840433201669i,-3.55123956953944 - 0.532950966179636i,58.9161683075051 - 2.22231906208532i,-4.22357608037389 + 1.20838696244107i,0.230849322195461 - 1.67013164479279i,0.480297996660106 - 1.66632754649263i,-4.22357644514188 + 1.20830625240353i,58.47775619622 - 2.12537208607874i,-3.8348113337529 - 0.202789755523563i,-1.76131182914907 - 1.33825868971029i,0.230653543297147 - 1.67014334033885i,-3.83487798430417 - 0.202764735365824i,57.8044458958047 - 1.24434119591906i
