"Freq [GHz]","Z(1,1) []","Z(2,1) []","Z(3,1) []","Z(4,1) []","Z(1,2) []","Z(2,2) []","Z(3,2) []","Z(4,2) []","Z(1,3) []","Z(2,3) []","Z(3,3) []","Z(4,3) []","Z(1,4) []","Z(2,4) []","Z(3,4) []","Z(4,4) []"
2.402,45.8760735727856 + 16.1698803043595i,-5.76223831576318 - 11.2221633793269i,-5.55234026334155 + 1.00229883890637i,2.36605460363432 - 0.41369481829776i,-5.76209478400053 - 11.2223987420197i,43.9707970418801 + 17.8014097087067i,-6.27639397345702 - 15.212230067212i,-5.48740982136912 + 0.81206856443363i,-5.55206264541852 + 1.00208914237711i,-6.2762293578606 - 15.2122302702007i,43.93038683817 + 17.5496297958812i,-5.63680754056613 - 11.191182743504i,2.36574398066066 - 0.413344357984769i,-5.48745242472964 + 0.812030453682193i,-5.63653915262013 - 11.1914514093937i,45.9253646702595 + 16.2698748169676i
2.442,42.1807659874442 + 16.327013702214i,-3.55215964877625 - 5.56420494430977i,-4.86646853358047 + 4.17196582991489i,-1.03837712954644 + 0.574604123498455i,-3.55217837878335 - 5.56428666492441i,41.5594355612096 + 19.1572825039871i,-5.98976800156621 - 5.97809004636507i,-4.82766277480996 + 4.02658926021302i,-4.8665849017622 + 4.17190487825764i,-5.98973745846161 - 5.97809383201752i,41.5604287476622 + 18.7744055419496i,-3.55513433526412 - 5.47049845951017i,-1.03833371655258 + 0.574674584526945i,-4.82766450722394 + 4.02661150808625i,-3.55512792681771 - 5.47055813174609i,41.6971095039947 + 16.366653042342i
2.48,56.9167893802345 + 2.29878135330623i,-9.28283982616152 - 10.6822043307095i,0.321233239612836 + 8.18688346363452i,3.46564592128854 + 0.889636634432039i,-9.2845023911249 - 10.6833101238431i,59.5134146077424 + 5.90303300470202i,-10.0764520177816 - 11.9744380985817i,0.00255750514448518 + 8.2606541077607i,0.334034728542228 + 8.18537708241673i,-10.0778277649071 - 11.975523771882i,59.1732476211561 + 5.22794515774169i,-9.09365986959762 - 10.4537257659917i,3.4645965815424 + 0.888305455782665i,0.0024561017716006 + 8.26100025479158i,-9.09416774962639 - 10.4538712057464i,57.0782149452793 + 2.97713021702668i
