"Freq [GHz]","Z(1,1) []","Z(2,1) []","Z(3,1) []","Z(4,1) []","Z(1,2) []","Z(2,2) []","Z(3,2) []","Z(4,2) []","Z(1,3) []","Z(2,3) []","Z(3,3) []","Z(4,3) []","Z(1,4) []","Z(2,4) []","Z(3,4) []","Z(4,4) []"
2.402,46.4863623182672 + 13.3156827045082i,-7.74777472079078 - 5.44812977333376i,-3.17283812928122 + 2.20251042100559i,-0.210142113756739 - 1.93028530678266i,-7.74779456901394 - 5.44835144746865i,49.1067165709615 + 14.9123833225566i,-10.0634020477443 - 7.91974439442214i,-3.41476489740587 + 2.0828738538483i,-3.17292535159591 + 2.20235515494514i,-10.0633131994728 - 7.91979929286319i,48.6204999136007 + 14.6512661712554i,-8.03451161672484 - 5.82398035351545i,-0.209831195863531 - 1.93005869531145i,-3.41485934581229 + 2.08282018814158i,-8.03467141111315 - 5.82406835432604i,48.1339215411398 + 14.2773866511001i
2.442,41.5320769299743 + 15.9151333780189i,-2.73330209414241 - 0.852760299216344i,-0.939231565239911 + 4.32270024778692i,-0.913681520265548 + 1.58208072016484i,-2.73294743379934 - 0.852368663518271i,43.7228969385255 + 16.1212635155611i,-4.38311158705867 - 0.943655995529025i,-0.984196139572376 + 4.29637212828881i,-0.939258250070687 + 4.32229266027839i,-4.38451237981059 - 0.931150615130982i,43.1909372324701 + 16.0127046049665i,-2.90654688801214 - 0.759285703612906i,-0.913161106549169 + 1.58233578783436i,-0.999080397957009 + 4.29095596367871i,-2.90520541023693 - 0.758874840947382i,41.9011806761594 + 15.9270347656042i
2.48,57.7891165762809 + 0.865599912665397i,-6.68888767079742 - 4.94665409306487i,3.12567968240377 + 3.25063440324526i,2.49660224483755 - 0.0956863925636074i,-6.68867826861003 - 4.94661941143731i,60.3897182455174 - 0.706031290125264i,-8.84527539271942 - 4.90642833392232i,3.17651529234172 + 3.53238737745386i,3.12571731870523 + 3.25050698709964i,-8.84501756493801 - 4.90641345223194i,60.284777690224 - 0.216154887973287i,-6.60810823591758 - 4.86120894965111i,2.49672037893541 - 0.0956009231208271i,3.17656795143832 + 3.53254396338176i,-6.60795884759752 - 4.86103287775108i,58.5053827154524 + 1.27759347040412i
