"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
0,2.416,0,73.217949363921,54.7962416638766,51.7507515047623,72.3474238085581,-37.5430602858037,-16.4984242098658,-12.7656801519979,-33.2709759282054
0,2.416,8,73.2191462336243,54.7962839382913,51.7506164536971,72.3488719260316,-37.5464953501307,-16.4993416509123,-12.7657290190798,-33.2740727943957
0,2.416,16,73.2199962934647,54.7963150878683,51.7505216055564,72.3499000700529,-37.5489307177591,-16.4999921291934,-12.7657638939756,-33.2762683364079
0,2.416,24,73.2208494629095,54.7963472861989,51.7504272998913,72.3509316751158,-37.5513713891422,-16.5006440554452,-12.7657990361389,-33.2784686163396
0,2.416,32,73.2220613468776,54.796394624406,51.7502948681321,72.3523965037055,-37.5548320617258,-16.5015684877758,-12.7658491936954,-33.2815883587473
0,2.416,40,73.2250128756649,54.7965177171009,51.7499797586243,72.3559615729737,-37.5632304174255,-16.5038121662046,-12.76597252397,-33.2891589808993
0,2.416,48,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,56,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,64,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,72,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,80,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,88,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,96,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,104,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,112,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,120,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,128,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
0,2.416,136,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,0,73.217949363921,54.7962416638766,51.7507515047623,72.3474238085581,-37.5430602858037,-16.4984242098658,-12.7656801519979,-33.2709759282054
1,2.416,8,73.2191462336243,54.7962839382913,51.7506164536971,72.3488719260316,-37.5464953501307,-16.4993416509123,-12.7657290190798,-33.2740727943957
1,2.416,16,73.2199962934647,54.7963150878683,51.7505216055564,72.3499000700529,-37.5489307177591,-16.4999921291934,-12.7657638939756,-33.2762683364079
1,2.416,24,73.2208494629095,54.7963472861989,51.7504272998913,72.3509316751158,-37.5513713891422,-16.5006440554452,-12.7657990361389,-33.2784686163396
1,2.416,32,73.2220613468776,54.796394624406,51.7502948681321,72.3523965037055,-37.5548320617258,-16.5015684877758,-12.7658491936954,-33.2815883587473
1,2.416,40,73.2250128756649,54.7965177171009,51.7499797586243,72.3559615729737,-37.5632304174255,-16.5038121662046,-12.76597252397,-33.2891589808993
1,2.416,48,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,56,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,64,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,72,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,80,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,88,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,96,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,104,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,112,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,120,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,128,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
1,2.416,136,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,0,73.217949363921,54.7962416638766,51.7507515047623,72.3474238085581,-37.5430602858037,-16.4984242098658,-12.7656801519979,-33.2709759282054
2,2.416,8,73.2191462336243,54.7962839382913,51.7506164536971,72.3488719260316,-37.5464953501307,-16.4993416509123,-12.7657290190798,-33.2740727943957
2,2.416,16,73.2199962934647,54.7963150878683,51.7505216055564,72.3499000700529,-37.5489307177591,-16.4999921291934,-12.7657638939756,-33.2762683364079
2,2.416,24,73.2208494629095,54.7963472861989,51.7504272998913,72.3509316751158,-37.5513713891422,-16.5006440554452,-12.7657990361389,-33.2784686163396
2,2.416,32,73.2220613468776,54.796394624406,51.7502948681321,72.3523965037055,-37.5548320617258,-16.5015684877758,-12.7658491936954,-33.2815883587473
2,2.416,40,73.2250128756649,54.7965177171009,51.7499797586243,72.3559615729737,-37.5632304174255,-16.5038121662046,-12.76597252397,-33.2891589808993
2,2.416,48,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,56,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,64,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,72,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,80,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,88,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,96,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,104,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,112,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,120,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,128,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
2,2.416,136,72.6412792622257,54.6676549580218,51.7117891114529,71.6868975909986,-36.3249743255229,-16.166080141225,-12.7229723820704,-32.1790392798781
3,2.416,0,73.217949363921,54.7962416638766,51.7507515047623,72.3474238085581,-37.5430602858037,-16.4984242098658,-12.7656801519979,-33.2709759282054
3,2.416,8,73.2191462336243,54.7962839382913,51.7506164536971,72.3488719260316,-37.5464953501307,-16.4993416509123,-12.7657290190798,-33.2740727943957
3,2.416,16,73.2199962934647,54.7963150878683,51.7505216055564,72.3499000700529,-37.5489307177591,-16.4999921291934,-12.7657638939756,-33.2762683364079
3,2.416,24,73.2208494629095,54.7963472861989,51.7504272998913,72.3509316751158,-37.5513713891422,-16.5006440554452,-12.7657990361389,-33.2784686163396
3,2.416,32,73.2220613468776,54.796394624406,51.7502948681321,72.3523965037055,-37.5548320617258,-16.5015684877758,-12.7658491936954,-33.2815883587473
