"d_phi_p [deg]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
3,24,-13.2956944976243,4.83265561002825,6.05803980387515,-36.3441301256574,16.0700537180601,2.25812747779623,3.16977446867322,7.84266555791128
3,32,-13.2963349466519,4.83275652769309,6.05806804589109,-36.3456655805844,16.070672752194,2.25803528800392,3.16969733290749,7.84269755099757
3,40,-13.2978900928319,4.83300179069271,6.05813708085765,-36.3493938219259,16.0721759128574,2.25781161996297,3.16951041763962,7.84277540267732
3,48,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,56,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,64,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,72,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,80,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,88,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,96,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,104,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,112,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,120,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,128,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
3,136,-13.0545448816234,4.79184836878695,6.04116687255735,-35.772798459794,15.8407031681012,2.28984325475401,3.19346541758386,7.83353694068959
4,0,-13.5246285331605,5.87790831381212,6.63317881682124,-39.1771945864219,17.759035005801,2.0627121467623,3.34822544844661,10.6265636539956
4,8,-13.5252795296678,5.87803902335753,6.6332142203658,-39.1791013161172,17.7597205773448,2.06259325145841,3.34815819539334,10.6266245742705
4,16,-13.5257412058232,5.87813174789559,6.63323940537791,-39.1804535013989,17.7602067724105,2.06250896162913,3.34811055719287,10.6266678874005
4,24,-13.5262040016337,5.8782247201602,6.63326471588797,-39.1818089356966,17.7606941456738,2.06242449133046,3.34806285053556,10.6267113966889
4,32,-13.5268604042069,5.87835662581304,6.63330072538244,-39.1837313527166,17.7613854059462,2.06230472466179,3.3479952669526,10.626773264088
4,40,-13.5284543159817,5.87867711745502,6.63338870465264,-39.1883992160653,17.7630639540604,2.06201410094841,3.34783155050486,10.6269242564219
4,48,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,56,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,64,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,72,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,80,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,88,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,96,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,104,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,112,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
4,120,-13.2785350326188,5.82594557836384,6.61241187069774,-38.4658394341471,17.5043025831517,2.10423104539585,3.3681461045164,10.5999279989116
