"Time [us]","re(SP(DSi1)) [mV]","re(SP(DSi2)) [mV]","re(SP(DSi3)) [mV]","re(SP(DSi4)) [mV]","re(SP(DSq1)) [mV]","re(SP(DSq2)) [mV]","re(SP(DSq3)) [mV]","re(SP(DSq4)) [mV]"
0,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.125,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.25,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.375,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.5,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.625,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.75,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
0.875,5.57152134551271,-10.5909714476042,-1.75419326679421,18.5050064948748,8.01501086834196,1.34950869320097,-17.9268214643134,2.7398607924627
1,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.125,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.25,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.375,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.5,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.625,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.75,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
1.875,8.18781462387882,1.36658034775045,-18.284543573967,2.75984603506803,-5.64830258860671,10.7930521199394,1.75962995129069,-18.8515403332755
2,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.125,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.25,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.375,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.5,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.625,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.75,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
2.875,-5.63780466572626,10.8030061977124,1.73122723351168,-18.8638696357913,-8.20166600038899,-1.35103538563114,18.3007340555535,-2.78871930068401
3,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.125,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.25,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.375,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.5,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.625,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.75,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
3.875,-8.1972794337699,-1.34413972235806,18.2868318101457,-2.79815938654571,5.62926186817168,-10.7954993861968,-1.71970095585896,18.8493367901096
4,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.125,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.25,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.375,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.5,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.625,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.75,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
4.875,5.63168371666496,-10.790137730977,-1.72853178848158,18.841685076057,8.19099967846388,1.34885900912805,-18.2777662727103,2.78873192228713
5,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.125,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.25,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.375,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.5,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.625,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.75,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
5.875,8.19247094768235,1.35329336858974,-18.2840057598104,2.7822350250913,-5.63668191513413,10.793439881102,1.73608429204321,-18.8484754324103
6,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.125,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.25,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.375,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.5,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.625,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.75,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
6.875,-5.63576800985956,10.7972502923933,1.73142389317799,-18.854169606687,-8.19663686335944,-1.3508518450948,18.2905314168055,-2.78740663652817
7,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.125,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.25,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.375,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.5,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.625,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.75,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
7.875,-8.19608899160047,-1.34749192288012,18.2869383328583,-2.7925098644046,5.63218970252252,-10.7953890456807,-1.72564347643402,18.8500978954385
8,5.6324784140123,-10.7923711398386,-1.72846372536471,18.8454491897169,8.19294995096007,1.34893377698747,-18.2817256913908,2.78923777505094
8.125,5.6324784140123,-10.7923711398386,-1.72846372536471,18.8454491897169,8.19294995096007,1.34893377698747,-18.2817256913908,2.78923777505094
8.25,5.6324784140123,-10.7923711398386,-1.72846372536471,18.8454491897169,8.19294995096007,1.34893377698747,-18.2817256913908,2.78923777505094
