"Time [us]","re(SP(DSi1)) [mV]","re(SP(DSi2)) [mV]","re(SP(DSi3)) [mV]","re(SP(DSi4)) [mV]","re(SP(DSq1)) [mV]","re(SP(DSq2)) [mV]","re(SP(DSq3)) [mV]","re(SP(DSq4)) [mV]"
0,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.125,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.25,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.375,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.5,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.625,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.75,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
0.875,-27.1675582939848,-23.393868002705,-46.6022153626541,-54.5755117462648,12.1275044017213,10.0671672051825,10.9110272514566,23.842990212345
1,12.4846090922302,10.4990304736329,11.3143926864623,24.5018939759348,28.1789066476462,24.2262376226653,47.8823061709643,56.7424499914539
1.125,12.4846090922302,10.4990304736329,11.3143926864623,24.5018939759348,28.1789066476462,24.2262376226653,47.8823061709643,56.7424499914539
1.25,12.4846090922302,10.4990304736329,11.3143926864623,24.5018939759348,28.1789066476462,24.2262376226653,47.8823061709643,56.7424499914539
1.375,12.4846090922302,10.4990304736329,11.3143926864623,24.5018939759348,28.1789066476462,24.2262376226653,47.8823061709643,56.7424499914539
1.5,12.4846090922302,10.4990304736329,11.3143926864623,24.5018939759348,28.1789066476462,24.2262376226653,47.8823061709643,56.7424499914539
