"Time [us]","re(SP(DSi1)) [mV]","re(SP(DSi2)) [mV]","re(SP(DSi3)) [mV]","re(SP(DSi4)) [mV]","re(SP(DSq1)) [mV]","re(SP(DSq2)) [mV]","re(SP(DSq3)) [mV]","re(SP(DSq4)) [mV]"
0,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.125,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.25,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.375,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.5,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.625,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.75,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
0.875,-12.2781424174531,-8.46497202191931,-15.9966550775984,-23.6242737859052,-14.2225593411112,-15.251569380757,-30.3693780607702,-28.4157124160053
1,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.125,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.25,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.375,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.5,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.625,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.75,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
1.875,-14.6133796686698,-15.7518515347531,-31.3405511683613,-29.1899392348661,12.2018956247528,8.28782606429311,15.6857429546432,23.4832113198773
2,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.125,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.25,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.375,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.5,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.625,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.75,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
2.875,12.1690332578065,8.24274775057861,15.5993936494621,23.4182248247946,14.6272589277914,15.7621382769778,31.3621357004523,29.2179247256479
3,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.125,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.25,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.375,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.5,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.625,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.75,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
3.875,14.6107505912329,15.7386649311967,31.317345511679,29.1853230177743,-12.1582686256477,-8.23277705616462,-15.5792941226516,-23.3966516661432
4,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.125,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.25,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.375,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.5,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.625,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.75,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
4.875,-12.1689604355224,-8.24837596052376,-15.6089809609598,-23.4177450732145,-14.602007276202,-15.7299598546067,-31.299991509285,-29.1678384717486
5,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.125,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.25,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.375,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.5,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.625,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.75,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
5.875,-14.6096976221762,-15.7414363950266,-31.321784108216,-29.1829963474285,12.1763872433498,8.25608230121889,15.6242525826488,23.4325781228869
6,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.125,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.25,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.375,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.5,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.625,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.75,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
6.875,12.17053782179,8.24715833455725,15.6073431656669,23.4210595311942,14.6162063847237,15.748390368743,31.3355091488819,29.1959840163889
7,14.6116070315341,15.7412114842335,31.3219357962892,29.1869360636428,-12.1647059751356,-8.2407829224203,-15.5947987497885,-23.4094310318116
7.125,14.6116070315341,15.7412114842335,31.3219357962892,29.1869360636428,-12.1647059751356,-8.2407829224203,-15.5947987497885,-23.4094310318116
7.25,14.6116070315341,15.7412114842335,31.3219357962892,29.1869360636428,-12.1647059751356,-8.2407829224203,-15.5947987497885,-23.4094310318116
