"d_phi_p [deg]","fc [GHz]","Time [us]","re(SP(i1)) [mV]","re(SP(i2)) [mV]","re(SP(i3)) [mV]","re(SP(i4)) [mV]","re(SP(q1)) [mV]","re(SP(q2)) [mV]","re(SP(q3)) [mV]","re(SP(q4)) [mV]"
0,2.462,0,39.489135791308,44.479388760331,47.2333364142212,40.8747920236691,-112.39869527506,-103.255838234408,-95.4027083163142,-109.427181262182
0,2.462,8,39.4952792950173,44.4854629944391,47.2388004986769,40.8810326340059,-112.406194562325,-103.263921053471,-95.4094468356307,-109.434317498348
0,2.462,16,39.4996341059718,44.489768751364,47.2426741504662,40.8854563414018,-112.411512258014,-103.269651860506,-95.4142245117416,-109.439377933196
0,2.462,24,39.503997762398,44.494083293862,47.2465560417005,40.8898890862026,-112.416842286836,-103.27539540359,-95.4190127994231,-109.444450251177
0,2.462,32,39.5101839748692,44.500199947529,47.2520599088649,40.8961733320202,-112.424401122526,-103.283539716449,-95.4258025548667,-109.451643863028
0,2.462,40,39.5251913226861,44.5150388854395,47.2654150411922,40.911418934796,-112.442751183104,-103.303306458014,-95.4422816548272,-109.469108519665
0,2.462,48,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,56,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,64,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,72,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,80,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,88,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,96,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,104,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,112,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,120,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,128,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
0,2.462,136,37.3492122004397,42.3557003826925,45.2881655884835,38.6983232110657,-109.672133152166,-100.374882535878,-93.000861893027,-106.819028239305
1,2.462,0,39.489135791308,44.479388760331,47.2333364142212,40.8747920236691,-112.39869527506,-103.255838234408,-95.4027083163142,-109.427181262182
1,2.462,8,39.4952792950173,44.4854629944391,47.2388004986769,40.8810326340059,-112.406194562325,-103.263921053471,-95.4094468356307,-109.434317498348
1,2.462,16,39.4996341059718,44.489768751364,47.2426741504662,40.8854563414018,-112.411512258014,-103.269651860506,-95.4142245117416,-109.439377933196
1,2.462,24,39.503997762398,44.494083293862,47.2465560417005,40.8898890862026,-112.416842286836,-103.27539540359,-95.4190127994231,-109.444450251177
1,2.462,32,39.5101839748692,44.500199947529,47.2520599088649,40.8961733320202,-112.424401122526,-103.283539716449,-95.4258025548667,-109.451643863028
1,2.462,40,39.5251913226861,44.5150388854395,47.2654150411922,40.911418934796,-112.442751183104,-103.303306458014,-95.4422816548272,-109.469108519665
